atomicNumber,symbol,legacyNeutronCount,representativeMassNumber,representativeNeutronCount,status
1,H,0,1,0,UNCHANGED
2,He,2,4,2,UNCHANGED
3,Li,4,7,4,UNCHANGED
4,Be,5,9,5,UNCHANGED
5,B,6,11,6,UNCHANGED
6,C,6,12,6,UNCHANGED
7,N,7,14,7,UNCHANGED
8,O,8,16,8,UNCHANGED
9,F,10,19,10,UNCHANGED
10,Ne,10,20,10,UNCHANGED
11,Na,12,23,12,UNCHANGED
12,Mg,12,24,12,UNCHANGED
13,Al,14,27,14,UNCHANGED
14,Si,14,28,14,UNCHANGED
15,P,16,31,16,UNCHANGED
16,S,16,32,16,UNCHANGED
17,Cl,18,35,18,UNCHANGED
18,Ar,22,40,22,UNCHANGED
19,K,20,39,20,UNCHANGED
20,Ca,20,40,20,UNCHANGED
21,Sc,24,45,24,UNCHANGED
22,Ti,26,48,26,UNCHANGED
23,V,28,51,28,UNCHANGED
24,Cr,28,52,28,UNCHANGED
25,Mn,30,55,30,UNCHANGED
26,Fe,30,56,30,UNCHANGED
27,Co,32,59,32,UNCHANGED
28,Ni,31,58,30,ISOTOPE_DISPLAY_CHANGED
29,Cu,35,63,34,ISOTOPE_DISPLAY_CHANGED
30,Zn,35,64,34,ISOTOPE_DISPLAY_CHANGED
31,Ga,39,69,38,ISOTOPE_DISPLAY_CHANGED
32,Ge,41,74,42,ISOTOPE_DISPLAY_CHANGED
33,As,42,75,42,UNCHANGED
34,Se,45,80,46,ISOTOPE_DISPLAY_CHANGED
35,Br,45,79,44,ISOTOPE_DISPLAY_CHANGED
36,Kr,48,84,48,UNCHANGED
37,Rb,48,85,48,UNCHANGED
38,Sr,50,88,50,UNCHANGED
39,Y,50,89,50,UNCHANGED
40,Zr,51,90,50,ISOTOPE_DISPLAY_CHANGED
41,Nb,52,93,52,UNCHANGED
42,Mo,54,98,56,ISOTOPE_DISPLAY_CHANGED
43,Tc,55,,,NO_REPRESENTATIVE_ISOTOPE
44,Ru,57,102,58,ISOTOPE_DISPLAY_CHANGED
45,Rh,58,103,58,UNCHANGED
46,Pd,60,106,60,UNCHANGED
47,Ag,61,107,60,ISOTOPE_DISPLAY_CHANGED
48,Cd,64,114,66,ISOTOPE_DISPLAY_CHANGED
49,In,66,115,66,UNCHANGED
50,Sn,69,120,70,ISOTOPE_DISPLAY_CHANGED
51,Sb,71,121,70,ISOTOPE_DISPLAY_CHANGED
52,Te,76,130,78,ISOTOPE_DISPLAY_CHANGED
53,I,74,127,74,UNCHANGED
54,Xe,77,132,78,ISOTOPE_DISPLAY_CHANGED
55,Cs,78,133,78,UNCHANGED
56,Ba,81,138,82,ISOTOPE_DISPLAY_CHANGED
57,La,82,139,82,UNCHANGED
58,Ce,82,140,82,UNCHANGED
59,Pr,82,141,82,UNCHANGED
60,Nd,84,142,82,ISOTOPE_DISPLAY_CHANGED
61,Pm,84,,,NO_REPRESENTATIVE_ISOTOPE
62,Sm,88,152,90,ISOTOPE_DISPLAY_CHANGED
63,Eu,89,153,90,ISOTOPE_DISPLAY_CHANGED
64,Gd,93,158,94,ISOTOPE_DISPLAY_CHANGED
65,Tb,94,159,94,UNCHANGED
66,Dy,97,164,98,ISOTOPE_DISPLAY_CHANGED
67,Ho,98,165,98,UNCHANGED
68,Er,99,166,98,ISOTOPE_DISPLAY_CHANGED
69,Tm,100,169,100,UNCHANGED
70,Yb,103,174,104,ISOTOPE_DISPLAY_CHANGED
71,Lu,104,175,104,UNCHANGED
72,Hf,106,180,108,ISOTOPE_DISPLAY_CHANGED
73,Ta,108,181,108,UNCHANGED
74,W,110,184,110,UNCHANGED
75,Re,111,187,112,ISOTOPE_DISPLAY_CHANGED
76,Os,114,192,116,ISOTOPE_DISPLAY_CHANGED
77,Ir,115,193,116,ISOTOPE_DISPLAY_CHANGED
78,Pt,117,195,117,UNCHANGED
79,Au,118,197,118,UNCHANGED
80,Hg,121,202,122,ISOTOPE_DISPLAY_CHANGED
81,Tl,123,205,124,ISOTOPE_DISPLAY_CHANGED
82,Pb,125,208,126,ISOTOPE_DISPLAY_CHANGED
83,Bi,126,209,126,UNCHANGED
84,Po,125,,,NO_REPRESENTATIVE_ISOTOPE
85,At,125,,,NO_REPRESENTATIVE_ISOTOPE
86,Rn,136,,,NO_REPRESENTATIVE_ISOTOPE
87,Fr,136,,,NO_REPRESENTATIVE_ISOTOPE
88,Ra,138,,,NO_REPRESENTATIVE_ISOTOPE
89,Ac,138,,,NO_REPRESENTATIVE_ISOTOPE
90,Th,142,232,142,UNCHANGED
91,Pa,140,231,140,UNCHANGED
92,U,146,238,146,UNCHANGED
93,Np,144,,,NO_REPRESENTATIVE_ISOTOPE
94,Pu,150,,,NO_REPRESENTATIVE_ISOTOPE
95,Am,148,,,NO_REPRESENTATIVE_ISOTOPE
96,Cm,151,,,NO_REPRESENTATIVE_ISOTOPE
97,Bk,150,,,NO_REPRESENTATIVE_ISOTOPE
98,Cf,153,,,NO_REPRESENTATIVE_ISOTOPE
99,Es,153,,,NO_REPRESENTATIVE_ISOTOPE
100,Fm,157,,,NO_REPRESENTATIVE_ISOTOPE
101,Md,157,,,NO_REPRESENTATIVE_ISOTOPE
102,No,157,,,NO_REPRESENTATIVE_ISOTOPE
103,Lr,159,,,NO_REPRESENTATIVE_ISOTOPE
104,Rf,163,,,NO_REPRESENTATIVE_ISOTOPE
105,Db,163,,,NO_REPRESENTATIVE_ISOTOPE
106,Sg,165,,,NO_REPRESENTATIVE_ISOTOPE
107,Bh,163,,,NO_REPRESENTATIVE_ISOTOPE
108,Hs,169,,,NO_REPRESENTATIVE_ISOTOPE
109,Mt,169,,,NO_REPRESENTATIVE_ISOTOPE
110,Ds,171,,,NO_REPRESENTATIVE_ISOTOPE
111,Rg,171,,,NO_REPRESENTATIVE_ISOTOPE
112,Cn,173,,,NO_REPRESENTATIVE_ISOTOPE
